,Year,Tm,Player,Age,Games,MP,PER ,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
173,2011,MEM,Sam Young,25,78,1577,12.5,0.525,0.10099999999999999,0.235,3.0,11.2,7.1,6.9,2.3,1.2,10.1
174,2011,CHI,Joakim Noah,25,48,1576,18.8,0.579,0.002,0.46799999999999997,13.9,22.8,18.5,10.7,1.6,3.5,15.7
175,2011,LAL,Shannon Brown,25,82,1568,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8
176,2011,UTA,Earl Watson,31,80,1567,10.2,0.5,0.349,0.267,4.0,10.1,7.0,25.7,2.1,0.9,25.3
177,2011,LAC,Randy Foye,27,63,1551,11.4,0.516,0.409,0.281,1.0,6.7,3.9,17.5,1.6,1.1,13.7
178,2011,MIA,James Jones,30,81,1549,11.1,0.629,0.8290000000000001,0.20800000000000002,1.9,9.9,6.1,4.1,1.0,1.0,5.3
179,2011,POR,Marcus Camby,36,59,1540,14.8,0.426,0.003,0.23800000000000002,13.8,35.2,24.1,11.7,1.4,5.0,16.0
180,2011,IND,Tyler Hansbrough,25,70,1535,16.4,0.529,0.003,0.413,10.6,15.9,13.2,4.7,1.2,0.7,9.5
181,2011,OKC,Nick Collison,30,71,1524,10.8,0.6,0.0,0.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7
182,2011,ORL,J.J. Redick,26,59,1513,12.8,0.589,0.49,0.28600000000000003,0.5,8.1,4.4,11.0,1.0,0.2,9.5
183,2011,MIL,Ersan Ilyasova,23,60,1505,14.3,0.516,0.239,0.205,7.9,20.7,14.1,6.6,1.8,1.3,10.2
184,2011,LAL,Andrew Bynum,23,54,1500,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8
185,2011,DET,Richard Hamilton,32,55,1498,15.8,0.52,0.215,0.256,1.9,8.7,5.1,19.8,1.4,0.2,10.5
186,2011,MEM,Tony Allen,29,72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1
